"B0 (uT)","kdN (1/s)","kaH (1/s)","[Ir]/[L]","[Ir]/[H2]","runtime (ms)","dt (ms)","polarization (%)"
-3,16,2,0.05,0,17000,2.5,1.705451645
-3,16,2,0.05,0,21000,2.5,1.937255841
-3,16,2,0.05,0,25000,2.5,2.128029189
-3,16,2,0.05,0,29000,2.5,2.285034691
-3,16,2,0.05,0,33000,2.5,2.414249612
-3,16,2,0.05,0,37000,2.5,2.520593118
-3,16,2,0.05,0,41000,2.5,2.608113601
-3,16,2,0.05,0,45000,2.5,2.680142833
-3,16,2,0.05,0,49000,2.5,2.739422827
-3,16,2,0.05,0,53000,2.5,2.788210237
-3,16,2,0.05,0,57000,2.5,2.828362271
-2.5,16,2,0.05,0,1000,2.5,0.256151039
-2.5,16,2,0.05,0,5000,2.5,1.036189031
-2.5,16,2,0.05,0,9000,2.5,1.653717389
-2.5,16,2,0.05,0,13000,2.5,2.142622466
-2.5,16,2,0.05,0,17000,2.5,2.529698161
-2.5,16,2,0.05,0,21000,2.5,2.836155621
-2.5,16,2,0.05,0,25000,2.5,3.078786917
-2.5,16,2,0.05,0,29000,2.5,3.270885996
-2.5,16,2,0.05,0,33000,2.5,3.422977588
-2.5,16,2,0.05,0,37000,2.5,3.543394166
-2.5,16,2,0.05,0,41000,2.5,3.638732656
-2.5,16,2,0.05,0,45000,2.5,3.714215975
-2.5,16,2,0.05,0,49000,2.5,3.773979234
-2.5,16,2,0.05,0,53000,2.5,3.821296322
-2.5,16,2,0.05,0,57000,2.5,3.858759284
-2,16,2,0.05,0,1000,2.5,0.436085355
-2,16,2,0.05,0,5000,2.5,1.691329876
-2,16,2,0.05,0,9000,2.5,2.623012578
-2,16,2,0.05,0,13000,2.5,3.314584234
-2,16,2,0.05,0,17000,2.5,3.827939002
-2,16,2,0.05,0,21000,2.5,4.209010416
-2,16,2,0.05,0,25000,2.5,4.491889831
-2,16,2,0.05,0,29000,2.5,4.701880946
-2,16,2,0.05,0,33000,2.5,4.857765798
-2,16,2,0.05,0,37000,2.5,4.973486069
-2,16,2,0.05,0,41000,2.5,5.059390755
-2,16,2,0.05,0,45000,2.5,5.123162112
-2,16,2,0.05,0,49000,2.5,5.170502903
-2,16,2,0.05,0,53000,2.5,5.205646492
-2,16,2,0.05,0,57000,2.5,5.231735485
-1.5,16,2,0.05,0,1000,2.5,0.79062126
-1.5,16,2,0.05,0,5000,2.5,2.852074083
-1.5,16,2,0.05,0,9000,2.5,4.216143122
-1.5,16,2,0.05,0,13000,2.5,5.1188639
-1.5,16,2,0.05,0,17000,2.5,5.716320296
-1.5,16,2,0.05,0,21000,2.5,6.111762121
-1.5,16,2,0.05,0,25000,2.5,6.373504844
-1.5,16,2,0.05,0,29000,2.5,6.546756331
-1.5,16,2,0.05,0,33000,2.5,6.66143593
-1.5,16,2,0.05,0,37000,2.5,6.737346088
-1.5,16,2,0.05,0,41000,2.5,6.787593838
-1.5,16,2,0.05,0,45000,2.5,6.82085484
-1.5,16,2,0.05,0,49000,2.5,6.842871699
-1.5,16,2,0.05,0,53000,2.5,6.857445614
-1.5,16,2,0.05,0,57000,2.5,6.867092735
-1,16,2,0.05,0,1000,2.5,1.452082922
-1,16,2,0.05,0,5000,2.5,4.617469761
-1,16,2,0.05,0,9000,2.5,6.309810616
-1,16,2,0.05,0,13000,2.5,7.214929176
-1,16,2,0.05,0,17000,2.5,7.699117623
-1,16,2,0.05,0,21000,2.5,7.958160836
-1,16,2,0.05,0,25000,2.5,8.096758576
-1,16,2,0.05,0,29000,2.5,8.1709159
-1,16,2,0.05,0,33000,2.5,8.210594783
-1,16,2,0.05,0,37000,2.5,8.231825704
-1,16,2,0.05,0,41000,2.5,8.243185757
-1,16,2,0.05,0,45000,2.5,8.24926421
-1,16,2,0.05,0,49000,2.5,8.252516627
-1,16,2,0.05,0,53000,2.5,8.254256911
-1,16,2,0.05,0,57000,2.5,8.255188091
-0.5,16,2,0.05,0,1000,2.5,2.133626328
-0.5,16,2,0.05,0,5000,2.5,5.647021391
-0.5,16,2,0.05,0,9000,2.5,6.971936786
-0.5,16,2,0.05,0,13000,2.5,7.471813956
-0.5,16,2,0.05,0,17000,2.5,7.660449021
-0.5,16,2,0.05,0,21000,2.5,7.73163808
-0.5,16,2,0.05,0,25000,2.5,7.758504885
-0.5,16,2,0.05,0,29000,2.5,7.768644544
-0.5,16,2,0.05,0,33000,2.5,7.772471314
-0.5,16,2,0.05,0,37000,2.5,7.773915563
-0.5,16,2,0.05,0,41000,2.5,7.774460632
-0.5,16,2,0.05,0,45000,2.5,7.774666345
-0.5,16,2,0.05,0,49000,2.5,7.774743983
-0.5,16,2,0.05,0,53000,2.5,7.774773284
-0.5,16,2,0.05,0,57000,2.5,7.774784342
0,16,2,0.05,0,1000,2.5,8.59e-16
0,16,2,0.05,0,5000,2.5,1.59e-15
0,16,2,0.05,0,9000,2.5,1.59e-15
0,16,2,0.05,0,13000,2.5,1.59e-15
0,16,2,0.05,0,17000,2.5,1.59e-15
0,16,2,0.05,0,21000,2.5,1.59e-15
0,16,2,0.05,0,25000,2.5,1.59e-15
0,16,2,0.05,0,29000,2.5,1.59e-15
0,16,2,0.05,0,33000,2.5,1.59e-15
0,16,2,0.05,0,37000,2.5,1.59e-15
0,16,2,0.05,0,41000,2.5,1.59e-15
0,16,2,0.05,0,45000,2.5,1.59e-15
0,16,2,0.05,0,49000,2.5,1.59e-15
0,16,2,0.05,0,53000,2.5,1.59e-15
0,16,2,0.05,0,57000,2.5,1.59e-15
0.5,16,2,0.05,0,1000,2.5,-2.133626328
0.5,16,2,0.05,0,5000,2.5,-5.647021391
0.5,16,2,0.05,0,9000,2.5,-6.971936786
0.5,16,2,0.05,0,13000,2.5,-7.471813956
0.5,16,2,0.05,0,17000,2.5,-7.660449021
0.5,16,2,0.05,0,21000,2.5,-7.73163808
0.5,16,2,0.05,0,25000,2.5,-7.758504885
0.5,16,2,0.05,0,29000,2.5,-7.768644544
0.5,16,2,0.05,0,33000,2.5,-7.772471314
0.5,16,2,0.05,0,37000,2.5,-7.773915563
0.5,16,2,0.05,0,41000,2.5,-7.774460632
0.5,16,2,0.05,0,45000,2.5,-7.774666345
0.5,16,2,0.05,0,49000,2.5,-7.774743983
0.5,16,2,0.05,0,53000,2.5,-7.774773284
0.5,16,2,0.05,0,57000,2.5,-7.774784342
1,16,2,0.05,0,1000,2.5,-1.452082922
1,16,2,0.05,0,5000,2.5,-4.617469761
1,16,2,0.05,0,9000,2.5,-6.309810616
1,16,2,0.05,0,13000,2.5,-7.214929176
1,16,2,0.05,0,17000,2.5,-7.699117623
1,16,2,0.05,0,21000,2.5,-7.958160836
1,16,2,0.05,0,25000,2.5,-8.096758575
1,16,2,0.05,0,29000,2.5,-8.1709159
1,16,2,0.05,0,33000,2.5,-8.210594783
1,16,2,0.05,0,37000,2.5,-8.231825704
1,16,2,0.05,0,41000,2.5,-8.243185757
1,16,2,0.05,0,45000,2.5,-8.24926421
1,16,2,0.05,0,49000,2.5,-8.252516627
1,16,2,0.05,0,53000,2.5,-8.254256911
1,16,2,0.05,0,57000,2.5,-8.255188091
1.5,16,2,0.05,0,1000,2.5,-0.79062126
1.5,16,2,0.05,0,5000,2.5,-2.852074083
1.5,16,2,0.05,0,9000,2.5,-4.216143122
1.5,16,2,0.05,0,13000,2.5,-5.1188639
1.5,16,2,0.05,0,17000,2.5,-5.716320296
1.5,16,2,0.05,0,21000,2.5,-6.111762121
1.5,16,2,0.05,0,25000,2.5,-6.373504844
1.5,16,2,0.05,0,29000,2.5,-6.546756331
1.5,16,2,0.05,0,33000,2.5,-6.66143593
1.5,16,2,0.05,0,37000,2.5,-6.737346088
1.5,16,2,0.05,0,41000,2.5,-6.787593838
1.5,16,2,0.05,0,45000,2.5,-6.82085484
1.5,16,2,0.05,0,49000,2.5,-6.842871699
1.5,16,2,0.05,0,53000,2.5,-6.857445614
1.5,16,2,0.05,0,57000,2.5,-6.867092735
2,16,2,0.05,0,1000,2.5,-0.436085355
2,16,2,0.05,0,5000,2.5,-1.691329876
2,16,2,0.05,0,9000,2.5,-2.623012578
2,16,2,0.05,0,13000,2.5,-3.314584234
2,16,2,0.05,0,17000,2.5,-3.827939002
2,16,2,0.05,0,21000,2.5,-4.209010416
2,16,2,0.05,0,25000,2.5,-4.491889831
2,16,2,0.05,0,29000,2.5,-4.701880946
2,16,2,0.05,0,33000,2.5,-4.857765798
2,16,2,0.05,0,37000,2.5,-4.973486069
2,16,2,0.05,0,41000,2.5,-5.059390755
2,16,2,0.05,0,45000,2.5,-5.123162112
2,16,2,0.05,0,49000,2.5,-5.170502903
2,16,2,0.05,0,53000,2.5,-5.205646493
2,16,2,0.05,0,57000,2.5,-5.231735485
2.5,16,2,0.05,0,1000,2.5,-0.256151039
2.5,16,2,0.05,0,5000,2.5,-1.036189031
2.5,16,2,0.05,0,9000,2.5,-1.653717389
2.5,16,2,0.05,0,13000,2.5,-2.142622466
2.5,16,2,0.05,0,17000,2.5,-2.529698161
2.5,16,2,0.05,0,21000,2.5,-2.836155621
2.5,16,2,0.05,0,25000,2.5,-3.078786917
2.5,16,2,0.05,0,29000,2.5,-3.270885996
2.5,16,2,0.05,0,33000,2.5,-3.422977588
2.5,16,2,0.05,0,37000,2.5,-3.543394166
2.5,16,2,0.05,0,41000,2.5,-3.638732656
2.5,16,2,0.05,0,45000,2.5,-3.714215975
2.5,16,2,0.05,0,49000,2.5,-3.773979234
2.5,16,2,0.05,0,53000,2.5,-3.821296322
2.5,16,2,0.05,0,57000,2.5,-3.858759284
3,16,2,0.05,0,1000,2.5,-0.160372091
3,16,2,0.05,0,5000,2.5,-0.66569904
3,16,2,0.05,0,9000,2.5,-1.081550703
3,16,2,0.05,0,13000,2.5,-1.423791235
3,16,2,0.05,0,17000,2.5,-1.705451645
3,16,2,0.05,0,21000,2.5,-1.937255841
3,16,2,0.05,0,25000,2.5,-2.128029189
3,16,2,0.05,0,29000,2.5,-2.285034691
3,16,2,0.05,0,33000,2.5,-2.414249612
3,16,2,0.05,0,37000,2.5,-2.520593118
3,16,2,0.05,0,41000,2.5,-2.608113601
3,16,2,0.05,0,45000,2.5,-2.680142833
3,16,2,0.05,0,49000,2.5,-2.739422827
3,16,2,0.05,0,53000,2.5,-2.788210237
3,16,2,0.05,0,57000,2.5,-2.828362271
3.5,16,2,0.05,0,1000,2.5,-0.106062767
3.5,16,2,0.05,0,5000,2.5,-0.447677371
3.5,16,2,0.05,0,9000,2.5,-0.735856443
3.5,16,2,0.05,0,13000,2.5,-0.978973897
3.5,16,2,0.05,0,17000,2.5,-1.184076135
3.5,16,2,0.05,0,21000,2.5,-1.357107618
3.5,16,2,0.05,0,25000,2.5,-1.503083215
3.5,16,2,0.05,0,29000,2.5,-1.626233586
3.5,16,2,0.05,0,33000,2.5,-1.730127826
3.5,16,2,0.05,0,37000,2.5,-1.817776925
3.5,16,2,0.05,0,41000,2.5,-1.891721046
3.5,16,2,0.05,0,45000,2.5,-1.954103148
3.5,16,2,0.05,0,49000,2.5,-2.006731104
3.5,16,2,0.05,0,53000,2.5,-2.051130098
3.5,16,2,0.05,0,57000,2.5,-2.088586828
4,16,2,0.05,0,1000,2.5,-0.073401481
4,16,2,0.05,0,5000,2.5,-0.313350229
4,16,2,0.05,0,9000,2.5,-0.519172957
4,16,2,0.05,0,13000,2.5,-0.695734568
4,16,2,0.05,0,17000,2.5,-0.847195102
4,16,2,0.05,0,21000,2.5,-0.977123148
4,16,2,0.05,0,25000,2.5,-1.088579933
4,16,2,0.05,0,29000,2.5,-1.184191465
4,16,2,0.05,0,33000,2.5,-1.26621041
4,16,2,0.05,0,37000,2.5,-1.336569174
4,16,2,0.05,0,41000,2.5,-1.396925434
4,16,2,0.05,0,45000,2.5,-1.4487012
4,16,2,0.05,0,49000,2.5,-1.493116317
4,16,2,0.05,0,53000,2.5,-1.53121721
4,16,2,0.05,0,57000,2.5,-1.563901538
4.5,16,2,0.05,0,1000,2.5,-0.052737551
4.5,16,2,0.05,0,5000,2.5,-0.226945439
4.5,16,2,0.05,0,9000,2.5,-0.378140905
4.5,16,2,0.05,0,13000,2.5,-0.509372389
4.5,16,2,0.05,0,17000,2.5,-0.623275984
4.5,16,2,0.05,0,21000,2.5,-0.722139702
4.5,16,2,0.05,0,25000,2.5,-0.807949431
4.5,16,2,0.05,0,29000,2.5,-0.882428839
4.5,16,2,0.05,0,33000,2.5,-0.947073991
4.5,16,2,0.05,0,37000,2.5,-1.003183409
4.5,16,2,0.05,0,41000,2.5,-1.051884157
4.5,16,2,0.05,0,45000,2.5,-1.094154478
4.5,16,2,0.05,0,49000,2.5,-1.130843446
4.5,16,2,0.05,0,53000,2.5,-1.162688022
4.5,16,2,0.05,0,57000,2.5,-1.19032786
5,16,2,0.05,0,1000,2.5,-0.039092718
5,16,2,0.05,0,5000,2.5,-0.169212567
5,16,2,0.05,0,9000,2.5,-0.283112963
5,16,2,0.05,0,13000,2.5,-0.382822184
5,16,2,0.05,0,17000,2.5,-0.470108362
5,16,2,0.05,0,21000,2.5,-0.546519326
5,16,2,0.05,0,25000,2.5,-0.613410058
5,16,2,0.05,0,29000,2.5,-0.671966711
5,16,2,0.05,0,33000,2.5,-0.723227654
5,16,2,0.05,0,37000,2.5,-0.76810188
5,16,2,0.05,0,41000,2.5,-0.807385127
5,16,2,0.05,0,45000,2.5,-0.841773989
5,16,2,0.05,0,49000,2.5,-0.87187827
5,16,2,0.05,0,53000,2.5,-0.898231796
5,16,2,0.05,0,57000,2.5,-0.921301883
-0.8,16,2,0.05,0,1000,0.5,1.789302443732401
-0.8,16,2,0.05,0,5000,0.5,5.320727858585918
-0.8,16,2,0.05,0,9000,0.5,6.994268084278883
-0.8,16,2,0.05,0,13000,0.5,7.787752274057004
-0.8,16,2,0.05,0,17000,0.5,8.164065671734889
-0.8,16,2,0.05,0,21000,0.5,8.34255527016648
-0.8,16,2,0.05,0,25000,0.5,8.427219649328556
-0.8,16,2,0.05,0,29000,0.5,8.467380250458653
-0.8,16,2,0.05,0,33000,0.5,8.48643069932351
-0.8,16,2,0.05,0,37000,0.5,8.49546746133428
-0.8,16,2,0.05,0,41000,0.5,8.49975414781977
-0.8,16,2,0.05,0,45000,0.5,8.501787587008074
-0.8,16,2,0.05,0,49000,0.5,8.50275217296749
-0.8,16,2,0.05,0,53000,0.5,8.50320973588067
-0.8,16,2,0.05,0,57000,0.5,8.50342678636551
-0.8,16,2,0.05,0,1000,1,1.7882319052857212
-0.8,16,2,0.05,0,5000,1,5.3146598880231055
-0.8,16,2,0.05,0,9000,1,6.983819908191231
-0.8,16,2,0.05,0,13000,1,7.774273960228936
-0.8,16,2,0.05,0,17000,1,8.148698463029596
-0.8,16,2,0.05,0,21000,1,8.326077999529833
-0.8,16,2,0.05,0,25000,1,8.410114358152224
-0.8,16,2,0.05,0,29000,1,8.449928973312451
-0.8,16,2,0.05,0,33000,1,8.46879251813369
-0.8,16,2,0.05,0,37000,1,8.477729825521255
-0.8,16,2,0.05,0,41000,1,8.481964219996
-0.8,16,2,0.05,0,45000,1,8.48397043057994
-0.8,16,2,0.05,0,49000,1,8.484920952194386
-0.8,16,2,0.05,0,53000,1,8.485371299540269
-0.8,16,2,0.05,0,57000,1,8.485584669502016
-0.8,16,2,0.05,0,1000,2.5,1.7849522399728472
-0.8,16,2,0.05,0,5000,2.5,5.295744794846776
-0.8,16,2,0.05,0,9000,2.5,6.951199437295849
-0.8,16,2,0.05,0,13000,2.5,7.732187061249626
-0.8,16,2,0.05,0,17000,2.5,8.100722315338498
-0.8,16,2,0.05,0,21000,2.5,8.274648472639148
-0.8,16,2,0.05,0,25000,2.5,8.356735555616938
-0.8,16,2,0.05,0,29000,2.5,8.39547881006793
-0.8,16,2,0.05,0,33000,2.5,8.413764979267835
-0.8,16,2,0.05,0,37000,2.5,8.422395796071834
-0.8,16,2,0.05,0,41000,2.5,8.426469432417468
-0.8,16,2,0.05,0,45000,2.5,8.428392139733226
-0.8,16,2,0.05,0,49000,2.5,8.4292996349961
-0.8,16,2,0.05,0,53000,2.5,8.429727962221445
-0.8,16,2,0.05,0,57000,2.5,8.429930127725681
-0.8,16,2,0.05,0,1000,5,1.779496101787912
-0.8,16,2,0.05,0,5000,5,5.262600363160684
-0.8,16,2,0.05,0,9000,5,6.893636853071181
-0.8,16,2,0.05,0,13000,5,7.657778661411542
-0.8,16,2,0.05,0,17000,5,8.015867331448945
-0.8,16,2,0.05,0,21000,5,8.183692476349274
-0.8,16,2,0.05,0,25000,5,8.262351189488147
-0.8,16,2,0.05,0,29000,5,8.299219020653346
-0.8,16,2,0.05,0,33000,5,8.316499408024743
-0.8,16,2,0.05,0,37000,5,8.3245989742811
-0.8,16,2,0.05,0,41000,5,8.32839536740615
-0.8,16,2,0.05,0,45000,5,8.330174798283926
-0.8,16,2,0.05,0,49000,5,8.331008846800092
-0.8,16,2,0.05,0,53000,5,8.331399779161236
-0.8,16,2,0.05,0,57000,5,8.33158301565981
-0.8,16,2,0.05,0,1000,10,1.7790807973201095
-0.8,16,2,0.05,0,5000,10,5.2236842509725365
-0.8,16,2,0.05,0,9000,10,6.812821777328883
-0.8,16,2,0.05,0,13000,10,7.546314776846788
-0.8,16,2,0.05,0,17000,10,7.884951833761882
-0.8,16,2,0.05,0,21000,10,8.041310160569708
-0.8,16,2,0.05,0,25000,10,8.113508917979443
-0.8,16,2,0.05,0,29000,10,8.146847618781221
-0.8,16,2,0.05,0,33000,10,8.162242358414538
-0.8,16,2,0.05,0,37000,10,8.169351189718052
-0.8,16,2,0.05,0,41000,10,8.17263384347021
-0.8,16,2,0.05,0,45000,10,8.174149680145359
-0.8,16,2,0.05,0,49000,10,8.17484965100326
-0.8,16,2,0.05,0,53000,10,8.175172877985704
-0.8,16,2,0.05,0,57000,10,8.175322135189486
-0.8,16,2,0.05,0,1000,20,6.147813534010868
-0.8,16,2,0.05,0,5000,20,21.30109795113674
-0.8,16,2,0.05,0,9000,20,30.57822419004093
-0.8,16,2,0.05,0,13000,20,36.29772080369752
-0.8,16,2,0.05,0,17000,20,39.83882467150685
-0.8,16,2,0.05,0,21000,20,42.03689887017878
-0.8,16,2,0.05,0,25000,20,43.40348685510179
-0.8,16,2,0.05,0,29000,20,44.25396025900683
-0.8,16,2,0.05,0,33000,20,44.783561954720795
-0.8,16,2,0.05,0,37000,20,45.11347767788172
-0.8,16,2,0.05,0,41000,20,45.31904748958011
-0.8,16,2,0.05,0,45000,20,45.447156475768665
-0.8,16,2,0.05,0,49000,20,45.52699999562645
-0.8,16,2,0.05,0,53000,20,45.576765059674855
-0.8,16,2,0.05,0,57000,20,45.60778385471658
-0.8,16,2,0.05,0,1000,50,-5.494230578659303
-0.8,16,2,0.05,0,5000,50,-19.838528695820145
-0.8,16,2,0.05,0,9000,50,-28.89304793365004
-0.8,16,2,0.05,0,13000,50,-34.63546891709532
-0.8,16,2,0.05,0,17000,50,-38.28834816111401
-0.8,16,2,0.05,0,21000,50,-40.61650559455133
-0.8,16,2,0.05,0,25000,50,-42.10217953247566
-0.8,16,2,0.05,0,29000,50,-43.05098190254668
-0.8,16,2,0.05,0,33000,50,-43.65722377766654
-0.8,16,2,0.05,0,37000,50,-44.044709197450736
-0.8,16,2,0.05,0,41000,50,-44.29242506215545
-0.8,16,2,0.05,0,45000,50,-44.450808290596264
-0.8,16,2,0.05,0,49000,50,-44.55208298743736
-0.8,16,2,0.05,0,53000,50,-44.61684435067681
-0.8,16,2,0.05,0,57000,50,-44.658258228014596
-0.8,16,2,0.05,0,1000,100,0.15191187800884715
-0.8,16,2,0.05,0,5000,100,0.6628426958294846
-0.8,16,2,0.05,0,9000,100,1.123150252515198
-0.8,16,2,0.05,0,13000,100,1.537859216772258
-0.8,16,2,0.05,0,17000,100,1.9114873094973523
-0.8,16,2,0.05,0,21000,100,2.248104527997918
-0.8,16,2,0.05,0,25000,100,2.5513775408773856
-0.8,16,2,0.05,0,29000,100,2.8246096764035498
-0.8,16,2,0.05,0,33000,100,3.0707769425744673
-0.8,16,2,0.05,0,37000,100,3.2925604733605223
-0.8,16,2,0.05,0,41000,100,3.49237575626157
-0.8,16,2,0.05,0,45000,100,3.6723989609218313
-0.8,16,2,0.05,0,49000,100,3.834590656700286
-0.8,16,2,0.05,0,53000,100,3.9807171784329123
-0.8,16,2,0.05,0,57000,100,4.1123698738299215
-0.8,16,2,0.05,0,1000,0.25,1.7898329580944876
-0.8,16,2,0.05,0,5000,0.25,5.323716192789481
-0.8,16,2,0.05,0,9000,0.25,6.999410828578537
-0.8,16,2,0.05,0,13000,0.25,7.794386277991502
-0.8,16,2,0.05,0,17000,0.25,8.171629968574969
-0.8,16,2,0.05,0,21000,0.25,8.350666717887512
-0.8,16,2,0.05,0,25000,0.25,8.435640907133573
-0.8,16,2,0.05,0,29000,0.25,8.475972332705933
-0.8,16,2,0.05,0,33000,0.25,8.495115141818218
-0.8,16,2,0.05,0,37000,0.25,8.504201093011615
-0.8,16,2,0.05,0,41000,0.25,8.508513665235286
-0.8,16,2,0.05,0,45000,0.25,8.510560595072636
-0.8,16,2,0.05,0,49000,0.25,8.511532155493025
-0.8,16,2,0.05,0,53000,0.25,8.51199329975035
-0.8,16,2,0.05,0,57000,0.25,8.51221217863069
-0.8,16,2,0.05,0,1000,150,-4.678936007684367
-0.8,16,2,0.05,0,5000,150,-21.576366078589572
-0.8,16,2,0.05,0,9000,150,-33.794582955777564
-0.8,16,2,0.05,0,13000,150,-42.37946472662889
-0.8,16,2,0.05,0,17000,150,-48.9044934001094
-0.8,16,2,0.05,0,21000,150,-53.659278136772215
-0.8,16,2,0.05,0,25000,150,-57.01868098243488
-0.8,16,2,0.05,0,29000,150,-59.58221343014331
-0.8,16,2,0.05,0,33000,150,-61.45577479090352
-0.8,16,2,0.05,0,37000,150,-62.78229916497787
-0.8,16,2,0.05,0,41000,150,-63.796112331519126
-0.8,16,2,0.05,0,45000,150,-64.53790822216074
-0.8,16,2,0.05,0,49000,150,-65.0635497434386
-0.8,16,2,0.05,0,53000,150,-65.46551979360878
-0.8,16,2,0.05,0,57000,150,-65.75976947551911
-0.8,16,2,0.05,0,1000,200,0.2503341330320761
-0.8,16,2,0.05,0,5000,200,1.2450606532402915
-0.8,16,2,0.05,0,9000,200,2.121537659000655
-0.8,16,2,0.05,0,13000,200,2.8938217224993448
-0.8,16,2,0.05,0,17000,200,3.5743077079575967
-0.8,16,2,0.05,0,21000,200,4.1739140353673365
-0.8,16,2,0.05,0,25000,200,4.702258982682837
-0.8,16,2,0.05,0,29000,200,5.167815839979573
-0.8,16,2,0.05,0,33000,200,5.57804947350351
-0.8,16,2,0.05,0,37000,200,5.9395365435112994
-0.8,16,2,0.05,0,41000,200,6.258071345333017
-0.8,16,2,0.05,0,45000,200,6.538759002978643
-0.8,16,2,0.05,0,49000,200,6.78609753438941
-0.8,16,2,0.05,0,53000,200,7.004050123252334
-0.8,16,2,0.05,0,57000,200,7.196108770823563
-0.8,16,2,0.05,0,1000,250,-2.663339843636084
-0.8,16,2,0.05,0,5000,250,-11.49896682237899
-0.8,16,2,0.05,0,9000,250,-18.685826250013083
-0.8,16,2,0.05,0,13000,250,-24.529968430064844
-0.8,16,2,0.05,0,17000,250,-29.280466234385894
-0.8,16,2,0.05,0,21000,250,-33.140754348348324
-0.8,16,2,0.05,0,25000,250,-36.276818561066854
-0.8,16,2,0.05,0,29000,250,-38.82396619948473
-0.8,16,2,0.05,0,33000,250,-40.892409889421735
-0.8,16,2,0.05,0,37000,250,-42.57186191057227
-0.8,16,2,0.05,0,41000,250,-43.93530640374324
-0.8,16,2,0.05,0,45000,250,-45.04209068343727
-0.8,16,2,0.05,0,49000,250,-45.94045438176514
-0.8,16,2,0.05,0,53000,250,-46.66959573236213
-0.8,16,2,0.05,0,57000,250,-47.26135768193244
-0.8,16,2,0.05,0,1000,300,-0.1934015924113541
-0.8,16,2,0.05,0,5000,300,-0.9002681061232624
-0.8,16,2,0.05,0,9000,300,-1.571996330957041
-0.8,16,2,0.05,0,13000,300,-2.122827391988599
-0.8,16,2,0.05,0,17000,300,-2.6115554387744453
-0.8,16,2,0.05,0,21000,300,-3.076438601847566
-0.8,16,2,0.05,0,25000,300,-3.457651955575066
-0.8,16,2,0.05,0,29000,300,-3.7958852964183087
-0.8,16,2,0.05,0,33000,300,-4.117615980914422
-0.8,16,2,0.05,0,37000,300,-4.381441219072749
-0.8,16,2,0.05,0,41000,300,-4.615521204319076
-0.8,16,2,0.05,0,45000,300,-4.838180080158481
-0.8,16,2,0.05,0,49000,300,-5.020764438246914
-0.8,16,2,0.05,0,53000,300,-5.182763036743937
-0.8,16,2,0.05,0,57000,300,-5.336857400784563
